A		5e-6	0.004	1.7894	31.003
B		3e-6	0.0027	1.4344	17.916
C		4e-6	0.0033	1.5809	19.874
D		3e-6	0.0031	1.6113	23.509
E		3e-6	0.0025	1.3724	5.4639	
F		4e-6	0.0038	1.7741	37.539
